"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 0 0.25 2 179 0.0124561850823179 0.0124561850823179 0.000163122371447347 FALSE ""
100 1 0.5 20 180 1.16235813440162 0.162358134401624 0.583468602115485 FALSE ""
50 1 0.25 57 181 1.21764782845577 0.217647828455765 0.658922520531361 FALSE ""
50 0.5 1 4 182 0.587465925245702 0.087465925245702 0.233573212371948 FALSE ""
250 0 0.25 98 183 0.0845961728067109 0.0845961728067109 0.00764033070747252 FALSE ""
100 0.5 0.25 81 184 0.51837141183266 0.0183714118326599 0.179756030995741 FALSE ""
100 0.5 0.25 17 185 0.4920272972683 0.00797270273170042 0.209847868119671 FALSE ""
250 1 0.5 88 186 0.993304031059035 0.00669596894096469 0.453975567678035 FALSE ""
250 0.5 0.25 7 187 0.402120891331577 0.0978791086684235 0.166776542931255 FALSE ""
250 1 0.5 63 188 0.949193217743935 0.0508067822560651 0.510382006546883 FALSE ""
50 0.5 0.5 41 189 0.417472139812654 0.0825278601873461 0.193528840104113 FALSE ""
50 0 0.5 16 190 0.132428882183644 0.132428882183644 0.00984864369268868 FALSE ""
250 1 0.25 82 191 1.05134492277562 0.0513449227756206 0.526827956786633 FALSE ""
50 1 0.5 57 192 1.00717975783279 0.00717975783278946 0.505339177148918 FALSE ""
100 0 1 32 193 -0.0467986534233284 0.0467986534233284 0.00252345687622225 FALSE ""
250 0 1 49 194 -0.00820961380376224 0.00820961380376224 6.23895101277527e-05 FALSE ""
50 0.5 1 90 195 0.366783860426454 0.133216139573546 0.149532888790208 FALSE ""
100 1 0.5 71 196 0.921409220199806 0.0785907798001938 0.440515131152842 FALSE ""
250 1 1 86 197 1.05257188173766 0.0525718817376604 0.495738249280332 FALSE ""
50 0.5 0.25 3 198 0.645956523188742 0.145956523188742 0.250881526898375 FALSE ""
250 0.5 0.5 3 199 0.325597933857615 0.174402066142385 0.0975264692925739 FALSE ""
50 0.5 0.5 39 200 0.39255862563067 0.10744137436933 0.127811989347348 FALSE ""
50 0 1 10 201 -0.0685570669631972 0.0685570669631972 0.00368647263834485 FALSE ""
250 0 1 70 202 0.0158755227408421 0.0158755227408421 0.000278421552935294 FALSE ""
50 0.5 0.5 97 203 0.485628752587083 0.0143712474129173 0.158712126271453 FALSE ""
100 1 1 54 204 1.01611885964034 0.0161188596403399 0.422782408261061 FALSE ""
250 0 0.25 62 205 0.0931708587456375 0.0931708587456375 0.00759221700496761 FALSE ""
250 0.5 0.25 33 206 0.488108212303477 0.0118917876965227 0.196314184959947 FALSE ""
250 0.5 0.5 28 207 0.414578191260364 0.0854218087396356 0.149762459863666 FALSE ""
250 0.5 1 11 208 0.496705066565178 0.00329493343482162 0.186943986439431 FALSE ""
250 1 1 94 209 1.09268608498969 0.092686084989694 0.525784248567648 FALSE ""
50 0.5 1 96 210 0.556385999644551 0.0563859996445508 0.195520479662668 FALSE ""
100 0.5 0.5 54 211 0.188654588459287 0.311345411540713 0.0291011352866915 FALSE ""
100 0 0.25 96 212 0.145194530915046 0.145194530915046 0.0198140911339074 FALSE ""
100 1 0.5 69 213 0.900354439819501 0.0996455601804989 0.434901582585426 FALSE ""
250 1 1 88 214 0.998449669688584 0.00155033031141594 0.502451483400319 FALSE ""
250 0 0.25 21 215 0.0775498608267443 0.0775498608267443 0.00739918838670941 FALSE ""
50 0.5 0.25 72 216 0.331716967830861 0.168283032169139 0.103494567800208 FALSE ""
50 0 0.5 49 217 0.0342008607812653 0.0342008607812653 0.000883513183043819 FALSE ""
100 0 0.25 86 218 -0.0143607542218487 0.0143607542218487 0.00019082113659709 FALSE ""
250 1 0.25 90 219 0.984381812930746 0.0156181870692541 0.502787046847652 FALSE ""
50 0 1 49 220 0.0253192862623828 0.0253192862623828 0.0010030850800292 FALSE ""
250 0 0.25 99 221 0.0292326538223411 0.0292326538223411 0.000915060523696716 FALSE ""
250 0 0.5 70 222 -0.0943329554733603 0.0943329554733603 0.0101436154272813 FALSE ""
50 0 1 92 223 -0.0821214498020231 0.0821214498020231 0.00571307905440791 FALSE ""
100 0 0.25 98 224 -0.0235667604255766 0.0235667604255766 0.000454145381764754 FALSE ""
250 1 0.25 2 225 1.07967760537357 0.0796776053735737 0.560770263065516 FALSE ""
100 0.5 0.5 48 226 0.306405637826699 0.193594362173301 0.0811169255543401 FALSE ""
250 1 0.5 82 227 1.00197325680074 0.00197325680074401 0.467326145411237 FALSE ""
250 1 0.5 99 228 0.914806603524056 0.0851933964759436 0.462928687699501 FALSE ""
100 1 0.5 95 229 1.00479360638789 0.00479360638788684 0.499814521334839 FALSE ""
50 0 0.25 40 230 0.065049538737422 0.065049538737422 0.0039584247106482 FALSE ""
100 0 0.5 84 231 -0.120654239828677 0.120654239828677 0.0177822103703064 FALSE ""
100 1 0.5 87 232 0.864490221574299 0.135509778425701 0.455809633434213 FALSE ""
250 0.5 0.5 72 233 0.541870684592906 0.0418706845929055 0.20716597813353 FALSE ""
50 1 1 42 234 0.733532089713619 0.266467910286381 0.280138047049909 FALSE ""
250 0.5 1 52 235 0.497839903263798 0.00216009673620199 0.198653862665769 FALSE ""
250 0 1 29 236 0.0355470289182925 0.0355470289182925 0.00133712429727894 FALSE ""
100 0.5 0.25 91 237 0.497195882625955 0.00280411737404518 0.179923601071579 FALSE ""
50 1 0.25 77 238 1.17115144462773 0.171151444627734 0.630690642085691 FALSE ""
100 1 0.5 73 239 1.12520406952245 0.125204069522449 0.519485402924596 FALSE ""
50 0.5 0.5 76 240 0.441929969030688 0.0580700309693122 0.218949336642258 FALSE ""
100 1 0.25 58 241 0.983374286317284 0.0166257136827156 0.535128835459956 FALSE ""
100 1 1 65 242 1.1397397719506 0.139739771950598 0.619208841704462 FALSE ""
50 0.5 1 22 243 0.361156754511219 0.138843245488781 0.0842192289874834 FALSE ""
100 0 0.5 58 244 0.0329417676278504 0.0329417676278504 0.000777175510685326 FALSE ""
100 0 0.25 8 245 -0.163885689338151 0.163885689338151 0.0217249032608403 FALSE ""
50 1 0.25 34 246 1.17655509812022 0.176555098120217 0.623274001573854 FALSE ""
250 0.5 0.5 100 247 0.456835115490473 0.0431648845095274 0.190273226006364 FALSE ""
50 1 0.5 12 248 0.841915829069979 0.158084170930021 0.32518013378442 FALSE ""
250 1 1 41 249 1.05473007229778 0.0547300722977804 0.52080545096669 FALSE ""
50 1 0.5 18 250 1.10961617201864 0.109616172018642 0.615006866795094 FALSE ""
50 0.5 0.5 96 251 0.366144166074973 0.133855833925027 0.138464422384466 FALSE ""
100 0 1 39 252 0.123800104579029 0.123800104579029 0.0118740207807437 FALSE ""
50 1 0.25 86 253 0.72170590074176 0.27829409925824 0.337240102388385 FALSE ""
250 1 1 87 254 0.93565315323521 0.0643468467647895 0.472879513519173 FALSE ""
100 1 0.25 51 255 0.896970112442097 0.103029887557903 0.507926913264885 FALSE ""
100 0 0.5 66 256 0.0351053421323444 0.0351053421323444 0.00100926944195258 FALSE ""
50 0.5 1 31 257 0.565746694002813 0.0657466940028129 0.214976417166783 FALSE ""
100 1 1 78 258 1.04372365569586 0.0437236556958573 0.502749010715896 FALSE ""
250 0.5 0.5 62 259 0.422060576462578 0.0779394235374222 0.150217399648087 FALSE ""
50 1 0.25 69 260 0.750469730993012 0.249530269006988 0.426292058503919 FALSE ""
100 0.5 0.5 61 261 0.553931825533775 0.0539318255337745 0.246107979452446 FALSE ""
