"sampleSize" "rep" "id" "interceptBias" "slopeBias" "error" "errorMessage"
500 16 120 0.0276991161227003 0.00508354798228206 FALSE ""
100 56 121 0.142791634644267 0.144195920655686 FALSE ""
250 22 122 0.0112427803863359 0.00846928918080891 FALSE ""
1000 79 123 0.0352819562747525 0.0143753408804437 FALSE ""
500 7 124 0.0342180153731975 0.0237855667998427 FALSE ""
100 71 125 0.130972025084752 0.180633690796268 FALSE ""
500 5 126 0.00873882466246133 0.0256580757209386 FALSE ""
1000 47 127 0.00969710784066768 0.0139357224696586 FALSE ""
1000 37 128 0.035825893891581 0.024394356792405 FALSE ""
250 80 129 0.00164260907975632 0.044214439698125 FALSE ""
500 89 130 0.0710014568497488 0.0880194379235349 FALSE ""
50 61 131 0.146116229521576 0.0189821775192789 FALSE ""
1000 69 132 0.0395742808100846 0.00242096628707755 FALSE ""
1000 24 133 0.00181450611847746 0.0109215124402255 FALSE ""
100 4 134 0.00416919094640731 0.0340676219062215 FALSE ""
50 87 135 0.0260019283886756 0.0166562514301489 FALSE ""
500 17 136 0.0374938819523694 0.057926600301833 FALSE ""
100 28 137 0.0583840196044966 0.0234107720359067 FALSE ""
250 36 138 0.0162166087310418 0.127126788540037 FALSE ""
100 17 139 0.024023387534917 0.0284206982785299 FALSE ""
500 34 140 0.029852501234735 0.0221243999903913 FALSE ""
1000 91 141 0.0160154199625875 0.0317467172481471 FALSE ""
100 63 142 0.027366512109504 0.0198550706581694 FALSE ""
1000 4 143 0.042302730308275 0.0415443401743085 FALSE ""
100 97 144 0.0575656370369068 0.160254608686518 FALSE ""
1000 34 145 0.0138230708291653 0.0306663236875127 FALSE ""
1000 14 146 0.00951630029185577 0.0116497702584623 FALSE ""
100 74 147 0.117337249959113 0.01055707367144 FALSE ""
1000 7 148 0.0125660428207652 0.0129116862141061 FALSE ""
250 47 149 0.0400298272526015 0.032221700684629 FALSE ""
100 55 150 0.0596231305841071 0.0513042849057947 FALSE ""
1000 77 151 0.039382536562849 0.0123946219070723 FALSE ""
500 47 152 0.077481368847295 0.00779164333417526 FALSE ""
50 41 153 0.154748999301841 0.0501525171670685 FALSE ""
1000 35 154 0.0605352606489057 0.0261609773797604 FALSE ""
50 59 155 0.243434241941671 0.0711134382818143 FALSE ""
100 5 156 0.00250595833825577 0.127220121917975 FALSE ""
1000 59 157 0.03873118591032 0.0642467868913707 FALSE ""
100 76 158 0.142227750258486 0.0540241483885931 FALSE ""
1000 44 159 0.0486685475364621 0.0593470496728228 FALSE ""
50 98 160 0.0798402192509551 0.0242528765017939 FALSE ""
1000 55 161 0.000174217985003802 0.0453681531233292 FALSE ""
250 24 162 0.0426042315893296 0.0455750967472922 FALSE ""
100 22 163 0.0254481725541028 0.125406634854264 FALSE ""
250 83 164 0.0051142751691426 0.0198559968881054 FALSE ""
500 8 165 0.06222947650893 0.0808015869758159 FALSE ""
50 42 166 0.172001775832719 0.0409339661868307 FALSE ""
1000 48 167 0.0364597626181651 0.0622523622718547 FALSE ""
100 46 168 0.0231783656948854 0.151011328974039 FALSE ""
100 80 169 0.0655572123696387 0.0354907562742415 FALSE ""
50 37 170 0.0953802565728457 0.0756268220574049 FALSE ""
100 61 171 0.0688489669960263 0.248333825793402 FALSE ""
50 83 172 0.166278856680548 0.00981230833778723 FALSE ""
50 26 173 0.0334423147237145 0.0964655886426948 FALSE ""
1000 98 174 0.0335986039314007 0.00587144557177122 FALSE ""
100 65 175 0.144852169841875 0.105725900176781 FALSE ""
250 55 176 0.033940352217245 0.0486560368651192 FALSE ""
100 24 177 0.0945647689053842 0.0487922785355088 FALSE ""
500 50 178 0.0496273952855953 0.0297315258804425 FALSE ""
100 7 179 0.0865981924816724 0.0127732741424528 FALSE ""
1000 57 180 0.0255944031335849 0.0231061905945 FALSE ""
250 27 181 0.129939006633506 0.183809989510867 FALSE ""
500 66 182 0.0309974837731706 0.052487172825366 FALSE ""
50 47 183 0.0965059530457525 0.043733060856152 FALSE ""
250 11 184 0.0406848568828857 0.0922514957008804 FALSE ""
250 43 185 0.0528330721906616 0.15825233673498 FALSE ""
100 39 186 0.180381177336661 0.0157401417823078 FALSE ""
1000 6 187 0.0236047960235345 0.0163045798890542 FALSE ""
50 93 188 0.00959380272733463 0.129071015648517 FALSE ""
500 26 189 0.00230775439995364 0.0287120573598333 FALSE ""
50 89 190 0.0176335130863643 0.287223812302649 FALSE ""
250 40 191 0.0752696266698397 0.128217394963259 FALSE ""
50 44 192 0.000287899049644 0.0457925405813834 FALSE ""
100 35 193 0.0182020883005223 0.0836992907544718 FALSE ""
500 86 194 0.0988976966360337 0.0147923496298158 FALSE ""
100 81 195 0.0947810367204566 0.120321568565867 FALSE ""
50 82 196 0.018468050183414 0.0161200300337598 FALSE ""
500 31 197 0.017364021002819 0.004179067293282 FALSE ""
250 84 198 0.0290056616491567 0.0836985493542527 FALSE ""
250 19 199 0.0877463077832425 0.00402675701354738 FALSE ""
250 13 200 0.000674453887516955 0.0873937227714648 FALSE ""
250 23 201 0.0233950065261811 0.0257596450845039 FALSE ""
250 56 202 0.119882530028142 0.0427973874923329 FALSE ""
100 96 203 0.0942264576558843 0.169072194016624 FALSE ""
500 12 204 0.00998332332503463 0.0089813787572941 FALSE ""
250 99 205 0.0329298440105335 0.0255328910983836 FALSE ""
1000 28 206 0.0197085034828982 0.0077795738082912 FALSE ""
500 3 207 0.127830364321733 0.0417234033522058 FALSE ""
50 40 208 0.163132223377815 0.343605170695994 FALSE ""
50 67 209 0.0622076087289101 0.102180193277572 FALSE ""
500 4 210 0.0519234383875865 0.00688151555807948 FALSE ""
50 77 211 0.0426407574183471 0.182816028146679 FALSE ""
50 5 212 0.053903594620836 0.182298715320302 FALSE ""
1000 13 213 0.0729222530642897 0.00529053398619439 FALSE ""
250 75 214 0.0129628401464554 0.0930270048917291 FALSE ""
50 2 215 0.0415002512760722 0.123052741979593 FALSE ""
100 98 216 0.0787787474163388 0.0548117209624897 FALSE ""
1000 1 217 0.0158385938358218 0.020757016165156 FALSE ""
100 49 218 0.0693733075051569 0.0449364260838569 FALSE ""
250 15 219 0.0860896002013858 0.0108655713113482 FALSE ""
1000 19 220 0.0696487788438494 0.00846788127395467 FALSE ""
1000 78 221 0.026869649301505 0.0089166376607803 FALSE ""
50 30 222 0.158221285401029 0.0133055413981157 FALSE ""
250 51 223 0.0423706785055469 0.0309769977345558 FALSE ""
100 83 224 0.088566086540258 0.0918176927659896 FALSE ""
100 50 225 0.0348983113020939 0.0484221096545607 FALSE ""
100 84 226 0.339456546715346 0.172503913141486 FALSE ""
1000 89 227 0.034217491654662 0.00106048602756226 FALSE ""
1000 29 228 0.0164994138895567 0.0120026313152509 FALSE ""
500 27 229 0.0355021380208096 0.0438777737360568 FALSE ""
250 14 230 0.0029381687282499 0.00320485046346175 FALSE ""
50 95 231 0.0683147271052408 0.130649076340676 FALSE ""
1000 46 232 0.00353516936344669 0.027940733035783 FALSE ""
50 84 233 0.00752106318667964 0.084122156272711 FALSE ""
50 4 234 0.0769274754961678 0.192519953709625 FALSE ""
1000 95 235 0.0475940110410337 0.00964403471776962 FALSE ""
50 74 236 0.0919846912022411 0.00854993756024391 FALSE ""
1000 60 237 0.0172438814707488 0.00156727398815176 FALSE ""
1000 61 238 0.0398581503230092 0.016740417109217 FALSE ""
250 34 239 0.0669516020126977 0.0666228337119197 FALSE ""
250 90 240 0.0457643412346529 0.0565044489489638 FALSE ""
250 2 241 0.142710192626791 0.0762156880280495 FALSE ""
250 33 242 0.0840622468691075 0.0445598270226608 FALSE ""
250 71 243 0.00607276340426336 0.00338122925887596 FALSE ""
500 53 244 0.0127161803848911 0.0133384415324897 FALSE ""
500 40 245 0.0868546649899239 0.0619846594267362 FALSE ""
250 31 246 0.0456510454427121 0.0231543789314447 FALSE ""
50 96 247 0.156318445475673 0.129545060984362 FALSE ""
250 10 248 0.0591822331924372 0.0114683617380411 FALSE ""
500 11 249 0.0435117199751209 0.00607739319209499 FALSE ""
500 70 250 0.0476567593714049 0.0931616166709123 FALSE ""
250 78 251 0.00317736163993451 0.00978592147338797 FALSE ""
500 19 252 0.0101893400728708 0.00620533327980044 FALSE ""
100 79 253 0.0109613848994008 0.0072310229534954 FALSE ""
500 29 254 0.0203236554355216 0.0563559399754288 FALSE ""
500 93 255 0.0281544672653954 0.0161369829371623 FALSE ""
50 65 256 0.030332512325157 0.101030808338805 FALSE ""
250 81 257 0.0933081815856279 0.0530989023789589 FALSE ""
1000 56 258 0.025120899034073 0.0323317161836103 FALSE ""
1000 18 259 0.0819263084168197 0.00855951079443484 FALSE ""
500 88 260 0.0704831791376458 0.0479073560927432 FALSE ""
1000 45 261 0.0231237385142665 0.0414347276149721 FALSE ""
100 20 262 0.0121982753483283 0.0635194094661236 FALSE ""
50 100 263 0.202149299009511 0.201675476124522 FALSE ""
250 94 264 0.164337741702898 0.0103832000293179 FALSE ""
250 73 265 0.0312395805542636 0.00528057625018497 FALSE ""
1000 84 266 0.0172174946515851 0.00857924907543661 FALSE ""
1000 70 267 0.0181476746325748 0.0154824077655341 FALSE ""
1000 3 268 0.00931503182695329 0.017445364857481 FALSE ""
1000 72 269 0.0413269768802687 0.00834302203958581 FALSE ""
1000 36 270 0.0376930413298742 0.0427867854918428 FALSE ""
250 5 271 0.110078773394361 0.0118219805625128 FALSE ""
1000 99 272 0.0481320384092706 0.0641280499616905 FALSE ""
50 24 273 0.0217050296931962 0.0920260128322414 FALSE ""
500 94 274 0.0942555908479568 0.0460979815202694 FALSE ""
250 53 275 0.0559480875112238 0.0882013536120461 FALSE ""
1000 50 276 0.0250986799298512 0.00392310836305887 FALSE ""
250 35 277 0.0248994303394251 0.00471461845968091 FALSE ""
250 1 278 0.064204590451642 0.0681265668817244 FALSE ""
50 99 279 0.0185476435528729 0.0655155474460425 FALSE ""
50 60 280 0.0187094824889117 0.133318569023487 FALSE ""
250 26 281 0.0332940849822762 0.0958684103791387 FALSE ""
100 88 282 0.026299817624253 0.0132049519142311 FALSE ""
100 36 283 0.150909326049334 0.0494398231533061 FALSE ""
100 18 284 0.126795194948786 0.217137951783009 FALSE ""
1000 90 285 0.028537033607187 0.0149176977249806 FALSE ""
500 36 286 0.00956626936429042 0.0839657836699226 FALSE ""
1000 63 287 0.0183572606749223 0.0102216157371398 FALSE ""
1000 30 288 0.00400041163753851 0.0265757516105676 FALSE ""
100 68 289 0.0416296386478775 0.110967769432847 FALSE ""
1000 97 290 0.0378830869780968 0.00889526735771173 FALSE ""
500 75 291 0.0656947333320217 0.0102678479144009 FALSE ""
250 98 292 0.128430378745762 0.0399144118403746 FALSE ""
500 80 293 0.0442441616808723 0.0129064701775847 FALSE ""
100 77 294 0.0458316438328894 0.106921133671174 FALSE ""
100 62 295 0.148637631622153 0.050900147938549 FALSE ""
1000 41 296 0.00018760269836504 0.0308570964182135 FALSE ""
50 71 297 0.23313519752249 0.0535447082618707 FALSE ""
100 92 298 0.0601600576612854 0.0764165468410087 FALSE ""
500 28 299 0.0848763295599818 0.00966239762991374 FALSE ""
500 22 300 0.00660040913294287 0.0602120393419561 FALSE ""
50 28 301 0.0983156043956519 0.00909829085420311 FALSE ""
500 38 302 0.0760671063240684 0.0709419552739123 FALSE ""
50 69 303 0.0355700077196676 0.0267046096128762 FALSE ""
50 88 304 0.0172698915163913 0.0894633579721072 FALSE ""
500 25 305 0.0103135837289314 0.0249194721240535 FALSE ""
